name,description,category_id
apt-get install package_name,instalar / actualizar un paquete deb.,1
apt-cdrom install package_name,instalar / actualizar un paquete deb desde un cdrom.,1
apt-get update,actualizar la lista de paquetes.,1
apt-get upgrade,actualizar todos los paquetes instalados.,1
apt-get remove package_name,eliminar un paquete deb del sistema.,1
apt-get check,verificar la correcta resolución de las dependencias.,1
apt-get clean,limpiar cache desde los paquetes descargados.,1
apt-cache search searched-package,retorna lista de paquetes que corresponde a la serie «paquetes buscados».,1
yum install package_name,descargar e instalar un paquete rpm.,2
yum localinstall package_name.rpm,"este instalará un RPM y tratará de resolver todas las dependencies para ti, usando tus repositorios.",2
yum update package_name.rpm,actualizar todos los paquetes rpm instalados en el sistema.,2
yum update package_name,modernizar / actualizar un paquete rpm.,2
yum remove package_name,eliminar un paquete rpm.,2
yum list,listar todos los paquetes instalados en el sistema.,2
yum search package_name,Encontrar un paquete en repositorio rpm.,2
yum clean packages,limpiar un caché rpm borrando los paquetes descargados.,2
yum clean headers,eliminar todos los ficheros de encabezamiento que el sistema usa para resolver la dependencia.,2
yum clean all,eliminar desde los paquetes caché y ficheros de encabezado.,2
badblocks -v /dev/hda1,Chequear los bloques defectuosos en el disco hda1.,3
fsck /dev/hda1,reparar / chequear la integridad del fichero del sistema Linux en el disco hda1.,3
fsck.ext2 /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 2 en el disco hda1.,3
e2fsck /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 2 en el disco hda1.,3
e2fsck -j /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 3 en el disco hda1.,3
fsck.ext3 /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 3 en el disco hda1.,3
fsck.vfat /dev/hda1,reparar / chequear la integridad del fichero sistema fat en el disco hda1.,3
fsck.msdos /dev/hda1,reparar / chequear la integridad de un fichero del sistema dos en el disco hda1.,3
dosfsck /dev/hda1,reparar / chequear la integridad de un fichero del sistema dos en el disco hda1,3
shutdown -h now ,apagar el sistema (1).,4
init 0 ,apagar el sistema (2).,4
telinit 0 ,apagar el sistema (3).,4
halt, apagar el sistema (4).,4
shutdown -h hours:minutes &, apagado planificado del sistema.,4
shutdown -c ,cancelar un apagado planificado del sistema.,4
shutdown -r now ,reiniciar (1).,4
reboot ,reiniciar (2).,4
logout ,cerrar sesión.,4
cd /home ,entrar en el directorio “home”.,5
cd .. ,retroceder un nivel.,5
cd ../.. ,retroceder 2 niveles.,5
cd, ir al directorio raíz.,5
cd ~user1 ,ir al directorio user1.,5
cd – ,ir (regresar) al directorio anterior.,5
pwd, mostrar el camino del directorio de trabajo.,5
ls, ver los ficheros de un directorio.,5
ls -F ,ver los ficheros de un directorio.,5
ls -l ,mostrar los detalles de ficheros y carpetas de un directorio.,5
ls -a ,mostrar los ficheros ocultos.,5
ls *[0-9]* ,mostrar los ficheros y carpetas que contienen números.,5
tree, mostrar los ficheros y carpetas en forma de árbol comenzando por la raíz.(1),5
lstree, mostrar los ficheros y carpetas en forma de árbol comenzando por la raíz.(2),5
mkdir dir1 ,crear una carpeta o directorio con nombre ‘dir1’.,5
mkdir dir1 dir2 ,crear dos carpetas o directorios simultáneamente (Crear dos directorios a la vez).,5
mkdir -p /tmp/dir1/dir2 ,crear un árbol de directorios.,5
rm -f file1 ,borrar el fichero llamado ‘file1’.,5
rmdir dir1 ,borrar la carpeta llamada ‘dir1’.,5
rm -rf dir1 ,eliminar una carpeta llamada ‘dir1’ con su contenido de forma recursiva. (Si lo borro recursivo estoy diciendo que es con su contenido).,5
rm -rf dir1 dir2 ,borrar dos carpetas (directorios) con su contenido de forma recursiva.,5
mv dir1 new_dir ,renombrar o mover un fichero o carpeta (directorio).,5
cp file1 ,copiar un fichero.,5
